Symbol,Gene_Name,logFC,Average_Expression,t_Statistic,P_Value,Adjusted_P_Value,Regulation
Gpx4,glutathione peroxidase 4,4.9595,10.3360,39.3910,4.3659e-8,4.7108e-5,Up
Uqcr10,"ubiquinol-cytochrome c reductase, complex III subunit X",4.4773,10.5720,33.5150,1.0794e-7,5.8234e-5,Up
Ndufa12,NADH:ubiquinone oxidoreductase subunit A12,3.3641,9.3598,29.8290,2.0722e-7,6.5619e-5,Up
Sem1,"SEM1, 26S proteasome complex subunit",3.2765,9.0624,3.8134,9.9769e-3,1.2547e-1,Up
Micos13,mitochondrial contact site and cristae organizing system subunit 13,3.2622,9.3994,27.8520,3.0407e-7,6.5619e-5,Up
Hspe1,heat shock protein family E (Hsp10) member 1,3.0754,9.3022,25.9050,4.5581e-7,8.1970e-5,Up
Ndufb11,NADH:ubiquinone oxidoreductase subunit B11,3.0363,9.1129,24.3510,6.4377e-7,8.6828e-5,Up
Tmsb10,"thymosin, beta 10",3.0144,12.7560,1.9580,1.0117e-1,2.8761e-1,Up
Rpl22l1,ribosomal protein L22 like 1,2.9016,9.2914,18.0920,3.3601e-6,2.2660e-4,Up
Uba52,ubiquitin A-52 residue ribosomal protein fusion product 1,2.8590,10.3820,1.8570,1.1596e-1,3.0769e-1,Up
Fam162a,"family with sequence similarity 162, member A",2.6149,8.7282,22.0380,1.1227e-6,1.3460e-4,Up
Marchf2,membrane associated ring-CH-type finger 2,2.3529,8.3708,14.5510,1.1185e-5,5.7471e-4,Up
Cox6c,cytochrome c oxidase subunit 6C,2.3332,11.6870,1.3590,2.2610e-1,4.4437e-1,Up
Polr1d,RNA polymerase I and III subunit D,2.3227,8.5447,17.4060,4.1623e-6,2.4950e-4,Up
Atp5mg,ATP synthase membrane subunit g,2.3162,11.1420,1.5325,1.7955e-1,3.8776e-1,Up
Uqcrh,ubiquinol-cytochrome c reductase hinge protein,2.2681,10.6420,1.9369,1.0409e-1,2.9180e-1,Up
Ndufb4,NADH:ubiquinone oxidoreductase subunit B4,2.2111,8.8897,9.3601,1.2249e-4,4.2515e-3,Up
Sarnp,SAP domain containing ribonucleoprotein,2.2045,8.5334,15.6100,7.5977e-6,4.0989e-4,Up
Ndufb6,NADH:ubiquinone oxidoreductase subunit B6,2.1147,10.0570,2.0229,9.2703e-2,2.7785e-1,Up
Eif1,eukaryotic translation initiation factor 1,2.1085,10.6650,1.5930,1.6555e-1,3.6906e-1,Up
Mrpl42,mitochondrial ribosomal protein L42,2.0931,8.3963,17.4070,4.1613e-6,2.4950e-4,Up
Mpc2,mitochondrial pyruvate carrier 2,1.9891,9.9102,1.8817,1.1215e-1,3.0116e-1,Up
